,ACCESS_ID,HAULJOIN,CRUISE,VESSEL,HAUL,GIS_STATION,SPECIES_CODE,SEX,LENGTH,WIDTH,SHELL_CONDITION,EGG_COLOR,EGG_CONDITION,CLUTCH_SIZE,WEIGHT,CHELA_HEIGHT,COMMENTS,YEAR,log10.width,log10.weight,log.width,log.weight,Cooks_D,SC,Maturity
368,NA,-10254,201301,89,171,V-26,68580,1,NA,33.3,2,NA,NA,NA,14,4.6,,2013,1.522444234,1.146128036,3.505557397,2.63905733,1.17E-05,NS,Immature
380,NA,-10203,201301,89,159,PO2524,68580,1,NA,33.6,2,NA,NA,NA,16,5.6,,2013,1.526339277,1.204119983,3.514526067,2.772588722,0.000652397,NS,Immature
385,287,-11590,200601,88,102,P-20,68580,1,NA,33.7,2,NA,NA,NA,16,5.2,,2006,1.527629901,1.204119983,3.517497837,2.772588722,0.000554793,NS,Immature
389,NA,-10254,201301,89,171,V-26,68580,1,NA,33.9,2,NA,NA,NA,14,5.2,,2013,1.530199698,1.146128036,3.523415014,2.63905733,6.38E-05,NS,Immature
391,NA,-9603,201202,162,16,CH30-D03,68580,1,NA,33.9,2,NA,NA,NA,14,5.1,,2012,1.530199698,1.146128036,3.523415014,2.63905733,6.38E-05,NS,Immature
393,1561,1063300,200101,89,138,U-21,68580,1,NA,34,2,NA,NA,NA,14,NA,,2001,1.531478917,1.146128036,3.526360525,2.63905733,9.65E-05,NS,#VALUE!
394,5256,-6716,201001,89,103,I-19,68580,1,NA,34,2,NA,NA,NA,14,5.3,,2010,1.531478917,1.146128036,3.526360525,2.63905733,9.65E-05,NS,Immature
397,NA,-14502,201501,94,89,M-19,68580,1,NA,34,2,NA,NA,NA,16,5.3,,2015,1.531478917,1.204119983,3.526360525,2.772588722,0.00031341,NS,Immature
399,NA,-8994,201201,89,152,R-25,68580,1,NA,34.1,2,NA,NA,NA,16,NA,,2012,1.532754379,1.204119983,3.529297384,2.772588722,0.000249337,NS,#VALUE!
404,NA,-14587,201501,162,181,V-25,68580,1,NA,34.1,2,NA,NA,NA,16,5,,2015,1.532754379,1.204119983,3.529297384,2.772588722,0.000249337,NS,Immature
406,NA,-17005,201701,94,186,T-25,68580,1,NA,34.1,2,NA,NA,NA,15,5.1,,2017,1.532754379,1.176091259,3.529297384,2.708050201,6.41E-06,NS,Immature
407,NA,-17053,201701,94,198,N-29,68580,1,NA,34.1,2,NA,NA,NA,15,5,,2017,1.532754379,1.176091259,3.529297384,2.708050201,6.41E-06,NS,Immature
408,NA,-10254,201301,89,171,V-26,68580,1,NA,34.2,2,NA,NA,NA,16,5.4,,2013,1.534026106,1.204119983,3.532225644,2.772588722,0.000193093,NS,Immature
412,NA,-9612,201202,162,25,CH30-E01,68580,1,NA,34.3,2,NA,NA,NA,14,5.1,,2012,1.53529412,1.146128036,3.535145354,2.63905733,0.000231786,NS,Immature
419,NA,-9612,201202,162,25,CH30-E01,68580,1,NA,34.4,2,NA,NA,NA,16,5,,2012,1.536558443,1.204119983,3.538056564,2.772588722,0.000103246,NS,Immature
424,NA,-14579,201501,162,173,R-22,68580,1,NA,34.5,2,NA,NA,NA,14,5.3,,2015,1.537819095,1.146128036,3.540959324,2.63905733,0.000351074,NS,Immature
425,NA,-9605,201202,162,18,CH30-D02,68580,1,NA,34.5,2,NA,NA,NA,14,5,,2012,1.537819095,1.146128036,3.540959324,2.63905733,0.000351074,NS,Immature
434,NA,-10254,201301,89,171,V-26,68580,1,NA,34.7,2,NA,NA,NA,18,4.9,,2013,1.540329475,1.255272505,3.546739687,2.890371758,0.000806307,NS,Immature
436,NA,-9607,201202,162,20,CH30-C01,68580,1,NA,34.7,2,NA,NA,NA,14,4.2,,2012,1.540329475,1.146128036,3.546739687,2.63905733,0.000491951,NS,Immature
440,1521,-11434,200601,134,182,Y-25,68580,1,NA,34.8,2,NA,NA,NA,16,5,,2006,1.541579244,1.204119983,3.549617387,2.772588722,8.44E-06,NS,Immature
445,NA,-17059,201701,94,214,U-25,68580,1,NA,34.9,2,NA,NA,NA,18,5.4,,2017,1.542825427,1.255272505,3.552486829,2.890371758,0.000608864,NS,Immature
446,1562,1063281,200101,89,140,T-23,68580,1,NA,35,2,NA,NA,NA,16,NA,,2001,1.544068044,1.204119983,3.555348061,2.772588722,3.84E-07,NS,#VALUE!
