"","ACCESS_ID","HAULJOIN","CRUISE","VESSEL","HAUL","GIS_STATION","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","CHELA_HEIGHT","COMMENTS","YEAR","log10.width","log10.weight","log.width","log.weight","Cooks_D","SC"
"339",3518,-7168,201002,162,15,"U-24",68580,1,NA,32.9,2,NA,NA,NA,14,5.6,"EBS Northern Extension","2010",1.51719589794997,1.14612803567824,3.49347265777133,2.63905732961526,0.000130294492805902,"NS"
"340",NA,-10252,201301,89,169,"U-25",68580,1,NA,32.9,2,NA,NA,NA,14,4.8,"","2013",1.51719589794997,1.14612803567824,3.49347265777133,2.63905732961526,0.000130294492805902,"NS"
"345",1560,1063300,200101,89,138,"U-21",68580,1,NA,33,2,NA,NA,NA,14,NA,"","2001",1.51851393987789,1.14612803567824,3.49650756146648,2.63905732961526,8.81214647168366e-05,"NS"
"348",1716,-8177,201101,162,176,"S-26",68580,1,NA,33,2,NA,NA,NA,14,4.8,"","2011",1.51851393987789,1.14612803567824,3.49650756146648,2.63905732961526,8.81214647168366e-05,"NS"
"350",NA,-14559,201501,94,126,"K-21",68580,1,NA,33,2,NA,NA,NA,12,4.6,"","2015",1.51851393987789,1.07918124604762,3.49650756146648,2.484906649788,0.000552446443924361,"NS"
"351",NA,-14754,201501,162,208,"N-31",68580,1,NA,33,2,NA,NA,NA,12,4.7,"","2015",1.51851393987789,1.07918124604762,3.49650756146648,2.484906649788,0.000552446443924361,"NS"
"354",440,-6168,201001,162,49,"H-05",68580,1,NA,33.1,2,NA,NA,NA,12,NA,"","2010",1.51982799377572,1.07918124604762,3.49953328238302,2.484906649788,0.000645071461257665,"NS"
"356",NA,-8995,201201,89,153,"Q-25",68580,1,NA,33.1,2,NA,NA,NA,14,NA,"","2012",1.51982799377572,1.14612803567824,3.49953328238302,2.63905732961526,5.44614972255528e-05,"NS"
"358",NA,-9624,201202,162,37,"CH30-I04",68580,1,NA,33.1,2,NA,NA,NA,12,5.2,"","2012",1.51982799377572,1.07918124604762,3.49953328238302,2.484906649788,0.000645071461257665,"NS"
"362",NA,-8994,201201,89,152,"R-25",68580,1,NA,33.2,2,NA,NA,NA,14,NA,"","2012",1.52113808370404,1.14612803567824,3.50254987592244,2.63905732961526,2.90734766723659e-05,"NS"
"368",NA,-10254,201301,89,171,"V-26",68580,1,NA,33.3,2,NA,NA,NA,14,4.6,"","2013",1.52244423350632,1.14612803567824,3.5055573969864,2.63905732961526,1.17214786898053e-05,"NS"
