"","ACCESS_ID","HAULJOIN","CRUISE","VESSEL","HAUL","GIS_STATION","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","CHELA_HEIGHT","COMMENTS","YEAR","log.width","log.weight","Cooks_D","SC"
"3931",NA,-17682,201801,162,76,"A-02",68560,2,NA,73.3,2,4,1,5,102,NA,NA,"2018",4.29456060889261,4.62497281328427,0.00132354125456085,"NS"
"3932",NA,-19245,201901,162,69,"A-02",68560,2,NA,73.3,2,4,1,5,118,NA,NA,"2019",4.29456060889261,4.77068462446567,0.00174648114999738,"NS"
"3940",1445,-11409,200601,134,157,"E-20",68560,2,NA,73.5,2,4,1,5,100,NA,NA,"2006",4.29728540621879,4.60517018598809,0.00256834969414024,"NS"
"3941",2214,-3440,200701,88,98,"H-01",68560,2,NA,73.5,2,5,2,5,118,NA,NA,"2007",4.29728540621879,4.77068462446567,0.00138419082191499,"NS"
"3942",2248,-3451,200701,88,109,"D-18",68560,2,NA,73.5,2,4,1,4,106,NA,NA,"2007",4.29728540621879,4.66343909411207,0.000389655933219851,"NS"
"3945",NA,-17682,201801,162,76,"A-02",68560,2,NA,73.5,2,4,1,6,114,NA,NA,"2018",4.29728540621879,4.7361984483945,0.000356964585720881,"NS"
"3958",NA,-17646,201801,94,83,"A-04",68560,2,NA,73.6,2,4,1,5,128,NA,NA,"2018",4.29864502573483,4.85203026391962,0.00607178391892657,"NS"
"3962",4595,-5216,200901,89,98,"M-19",68560,2,NA,73.7,2,4,1,5,108,NA,NA,"2009",4.30000279919529,4.68213122712422,0.000190944660920439,"NS"
"3964",879,-6216,201001,162,97,"D-18",68560,2,NA,73.7,2,4,1,6,108,NA,NA,"2010",4.30000279919529,4.68213122712422,0.000190944660920439,"NS"
"3977",NA,-17861,201801,94,137,"J-23",68560,2,NA,73.8,2,4,1,5,130,NA,NA,"2018",4.30135873160643,4.86753445045558,0.00658693004816436,"NS"
"3978",NA,-18022,201801,162,163,"L-27",68560,2,NA,73.8,2,4,1,4,106,NA,NA,"2018",4.30135873160643,4.66343909411207,0.00065327202116377,"NS"
"3981",NA,-16839,201701,94,109,"B-01",68560,2,NA,73.8,2,4,1,5,115,NA,NA,"2017",4.30135873160643,4.74493212836325,0.000290790288935186,"NS"
"3994",1494,1010773,200001,89,97,"E-18",68560,2,NA,74,2,4,1,5,106,NA,NA,"2000",4.30406509320417,4.66343909411207,0.000860064758135455,"NS"
"4042",NA,-17681,201801,162,75,"B-02",68560,2,NA,74.3,2,4,1,6,122,NA,NA,"2018",4.30811095172371,4.80402104473326,0.00135906369089349,"NS"
"4050",NA,-17682,201801,162,76,"A-02",68560,2,NA,74.4,2,4,1,6,116,NA,NA,"2018",4.30945594183905,4.75359019110636,8.3443781386403e-05,"NS"
"4062",4673,-6415,201001,89,56,"A-04",68560,2,NA,74.5,2,4,1,6,114,NA,NA,"2010",4.31079912538551,4.7361984483945,2.68803274854431e-06,"NS"
"4068",2348,-3672,200701,88,152,"H-26",68560,2,NA,74.6,2,4,1,5,112,NA,NA,"2007",4.31214050720972,4.71849887129509,0.000155259814619076,"NS"
"4069",1276,-6562,201001,162,118,"K-27",68560,2,NA,74.6,2,4,1,4,110,NA,NA,"2010",4.31214050720972,4.70048036579242,0.000462807483631713,"NS"
"4072",512,-7866,201101,162,102,"IH2019",68560,2,NA,74.6,2,4,1,5,120,NA,NA,"2011",4.31214050720972,4.78749174278205,0.00049293778243512,"NS"
"4073",NA,-11973,201401,162,109,"GF1918",68560,2,NA,74.6,2,4,1,6,132,NA,NA,"2014",4.31214050720972,4.88280192258637,0.00491215189322259,"NS"
"4098",NA,-17704,201801,162,72,"C-03",68560,2,NA,74.9,2,4,1,6,120,NA,NA,"2018",4.31615389052317,4.78749174278205,0.000261511218451637,"NS"
"4100",NA,-16839,201701,94,109,"B-01",68560,2,NA,74.9,2,4,1,5,115,NA,NA,"2017",4.31615389052317,4.74493212836325,2.40291915314124e-05,"NS"
"4122",125,-11541,200601,88,53,"C-06",68560,2,NA,75,2,4,1,6,126,NA,NA,"2006",4.31748811353631,4.83628190695148,0.00146287814564026,"NS"
"4126",3529,-4328,200801,89,161,"M-25",68560,2,NA,75,2,4,1,5,124,NA,NA,"2008",4.31748811353631,4.82028156560504,0.00092190870377523,"NS"
"4127",514,-7866,201101,162,102,"IH2019",68560,2,NA,75,2,4,1,5,112,NA,NA,"2011",4.31748811353631,4.71849887129509,0.00039178176312785,"NS"
"4132",NA,-17979,201801,94,159,"L-24",68560,2,NA,75,2,4,1,4,114,NA,NA,"2018",4.31748811353631,4.7361984483945,0.000122577861441622,"NS"
"4134",201,-11551,200601,88,63,"F-04",68560,2,NA,75.1,2,4,1,5,120,NA,NA,"2006",4.31882055877009,4.78749174278205,0.000150298017934512,"NS"
"4138",4621,-5740,200901,89,183,"M-32",68560,2,NA,75.1,2,4,1,5,121,NA,NA,"2009",4.31882055877009,4.79579054559674,0.000266657903228999,"NS"
"4139",808,-6212,201001,162,93,"E-18",68560,2,NA,75.1,2,4,1,6,132,NA,NA,"2010",4.31882055877009,4.88280192258637,0.00348140240539513,"NS"
"4147",3427,-4122,200801,89,37,"C-06",68560,2,NA,75.2,2,4,1,5,118,NA,NA,"2008",4.32015123095579,4.77068462446567,4.54300084768187e-06,"NS"
"4149",1766,-6596,201001,162,153,"L-20",68560,2,NA,75.2,2,4,1,4,120,NA,NA,"2010",4.32015123095579,4.78749174278205,0.000106820550250049,"NS"
"4173",1290,-6562,201001,162,118,"K-27",68560,2,NA,75.5,2,4,1,4,112,NA,NA,"2010",4.32413265625498,4.71849887129509,0.000813635971214843,"NS"
"4179",NA,-17682,201801,162,76,"A-02",68560,2,NA,75.5,2,4,1,5,120,NA,NA,"2018",4.32413265625498,4.78749174278205,2.1950989533175e-05,"NS"
"4183",89,-11538,200601,88,50,"E-06",68560,2,NA,75.6,2,4,1,5,116,NA,NA,"2006",4.32545628318549,4.75359019110636,0.000179620766820971,"NS"
"4187",827,-6213,201001,162,94,"E-19",68560,2,NA,75.6,2,4,1,6,124,NA,NA,"2010",4.32545628318549,4.82028156560504,0.00034419217545507,"NS"
"4200",2518,-3731,200701,88,211,"O-31",68560,2,NA,75.8,2,4,1,6,132,NA,NA,"2007",4.32809829264833,4.88280192258637,0.00197724712876349,"NS"
"4201",2215,-3440,200701,88,98,"H-01",68560,2,NA,75.8,2,5,2,5,132,NA,NA,"2007",4.32809829264833,4.88280192258637,0.00197724712876349,"NS"
"4210",NA,-12036,201401,94,140,"F-24",68560,2,NA,75.9,2,4,1,5,124,NA,NA,"2014",4.32941668440158,4.82028156560504,0.000167022630698772,"NS"
"4212",NA,-17682,201801,162,76,"A-02",68560,2,NA,75.9,2,4,1,5,110,NA,NA,"2018",4.32941668440158,4.70048036579242,0.00191023682523639,"NS"
"4216",NA,-17846,201801,162,113,"E-22",68560,2,NA,75.9,2,4,1,4,108,NA,NA,"2018",4.32941668440158,4.68213122712422,0.00274365253214961,"NS"
"4234",84,-11538,200601,88,50,"E-06",68560,2,NA,76.1,2,4,1,5,122,NA,NA,"2006",4.33204826486764,4.80402104473326,2.71731432897686e-06,"NS"
"4251",NA,-16839,201701,94,109,"B-01",68560,2,NA,76.2,2,4,1,5,110,NA,NA,"2017",4.3333614626926,4.70048036579242,0.00234471924578401,"NS"
"4266",1764,-6596,201001,162,153,"L-20",68560,2,NA,76.4,2,4,1,5,122,NA,NA,"2010",4.33598269617247,4.80402104473326,1.29728222681409e-05,"NS"
"4289",NA,-17703,201801,162,71,"C-02",68560,2,NA,76.6,2,4,1,5,120,NA,NA,"2018",4.33859707674655,4.78749174278205,0.000213133397828848,"NS"
"4297",NA,-17680,201801,162,74,"B-01",68560,2,NA,76.7,2,4,1,5,122,NA,NA,"2018",4.33990170837321,4.80402104473326,7.57074857591509e-05,"NS"
"4299",3355,-4111,200801,89,26,"D-08",68560,2,NA,76.8,2,3,1,4,122,NA,NA,"2008",4.34120464015363,4.80402104473326,0.000107515044017037,"NS"
"4309",1622,-6583,201001,162,140,"GF2221",68560,2,NA,76.9,2,4,1,5,122,NA,NA,"2010",4.3425058765116,4.80402104473326,0.000144519358943323,"NS"
"4319",1510,1063350,200101,89,85,"C-01",68560,2,NA,77,2,4,1,5,122,NA,NA,"2001",4.34380542185368,4.80402104473326,0.000186579511612766,"NS"
"4320",1513,1063382,200101,89,120,"GF2221",68560,2,NA,77,2,4,1,5,122,NA,NA,"2001",4.34380542185368,4.80402104473326,0.000186579511612766,"NS"
"4334",NA,-17680,201801,162,74,"B-01",68560,2,NA,77,2,4,1,4,126,NA,NA,"2018",4.34380542185368,4.83628190695148,8.11644733443421e-07,"NS"
"4358",135,-11547,200601,88,59,"B-04",68560,2,NA,77.3,2,4,1,6,132,NA,NA,"2006",4.34769395559338,4.88280192258637,0.000277566158793074,"NS"
"4374",4610,-5230,200901,89,112,"E-21",68560,2,NA,77.4,2,4,1,5,132,NA,NA,"2009",4.34898678059568,4.88280192258637,0.000223412027561408,"NS"
"4382",2210,-3440,200701,88,98,"H-01",68560,2,NA,77.5,2,5,2,4,134,NA,NA,"2007",4.3502779363593,4.89783979995091,0.000396349988537958,"NS"
"4384",513,-7866,201101,162,102,"IH2019",68560,2,NA,77.5,2,4,1,3,118,NA,NA,"2011",4.3502779363593,4.77068462446567,0.00132507278149353,"NS"
"4412",3384,-4119,200801,89,34,"A-05",68560,2,NA,77.8,2,4,1,5,128,NA,NA,"2008",4.35414143118435,4.85203026391962,2.74356446359182e-05,"NS"
"4414",4622,-5740,200901,89,183,"M-32",68560,2,NA,77.8,2,4,1,5,122,NA,NA,"2009",4.35414143118435,4.80402104473326,0.000690248862246841,"NS"
"4421",3416,-4122,200801,89,37,"C-06",68560,2,NA,77.9,2,4,1,5,128,NA,NA,"2008",4.3554259528767,4.85203026391962,4.66696099181848e-05,"NS"
"4422",4593,-5216,200901,89,98,"M-19",68560,2,NA,77.9,2,4,1,5,120,NA,NA,"2009",4.3554259528767,4.78749174278205,0.00122578896659798,"NS"
"4426",1507,1010773,200001,89,97,"E-18",68560,2,NA,78,2,4,1,5,120,NA,NA,"2000",4.35670882668959,4.78749174278205,0.00133206233049756,"NS"
"4427",1509,NA,200001,88,NA,"",68560,2,NA,78,2,4,1,5,122,NA,NA,"2000",4.35670882668959,4.80402104473326,0.000858752295795938,"NS"
