"","ACCESS_ID","HAULJOIN","CRUISE","VESSEL","HAUL","GIS_STATION","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","CHELA_HEIGHT","COMMENTS","YEAR","log.width","log.weight","Cooks_D","SC"
"519",NA,-9606,201202,162,19,"CH30-C02",68580,1,NA,36.2,2,NA,NA,NA,16,5.3,"","2012",3.58905911883173,2.77258872223978,0.000415364566192762,"NS"
"526",NA,-9044,201201,162,205,"T-26",68580,1,NA,36.4,2,NA,NA,NA,20,NA,"","2012",3.5945687746427,2.99573227355399,0.000357900679336859,"NS"
"529",NA,-10253,201301,89,170,"V-25",68580,1,NA,36.5,2,NA,NA,NA,18,4.3,"","2013",3.59731226058845,2.89037175789616,7.17482588343371e-06,"NS"
"530",NA,-10255,201301,89,172,"V-27",68580,1,NA,36.5,2,NA,NA,NA,16,4.3,"","2013",3.59731226058845,2.77258872223978,0.000623410250319764,"NS"
"534",NA,-8984,201201,89,142,"N-22",68580,1,NA,36.6,2,NA,NA,NA,16,NA,"","2012",3.60004824040732,2.77258872223978,0.000700529582085248,"NS"
"537",3236,-3776,200701,89,174,"T-25",68580,1,NA,36.7,2,NA,NA,NA,18,5.4,"","2007",3.60277675506052,2.89037175789616,3.3797780588682e-05,"NS"
"541",NA,-14499,201501,94,86,"P-19",68580,1,NA,36.7,2,NA,NA,NA,18,5.6,"","2015",3.60277675506052,2.89037175789616,3.3797780588682e-05,"NS"
"545",NA,-8614,201201,162,147,"O-21",68580,1,NA,36.8,2,NA,NA,NA,20,NA,"","2012",3.60549784517489,2.99573227355399,0.000153208591910985,"NS"
"547",NA,-9224,201201,162,208,"V-25",68580,1,NA,36.8,2,NA,NA,NA,18,NA,"","2012",3.60549784517489,2.89037175789616,5.41501638380494e-05,"NS"
"548",NA,-9589,201202,162,2,"CH30-A01",68580,1,NA,36.8,2,NA,NA,NA,18,5.7,"","2012",3.60549784517489,2.89037175789616,5.41501638380494e-05,"NS"
"549",NA,-9608,201202,162,21,"CH30-C01",68580,1,NA,36.8,2,NA,NA,NA,18,5.7,"","2012",3.60549784517489,2.89037175789616,5.41501638380494e-05,"NS"
"550",NA,-9609,201202,162,22,"CH30-D01",68580,1,NA,36.8,2,NA,NA,NA,18,5.7,"","2012",3.60549784517489,2.89037175789616,5.41501638380494e-05,"NS"
"551",281,-11590,200601,88,102,"P-20",68580,1,NA,36.9,2,NA,NA,NA,18,4.9,"","2006",3.60821155104648,2.89037175789616,7.90144537962144e-05,"NS"
"556",3408,-7161,201002,162,8,"ZZ-24",68580,1,NA,36.9,2,NA,NA,NA,20,6,"EBS Northern Extension","2010",3.60821155104648,2.99573227355399,0.000116219332236449,"NS"
"557",5236,-6714,201001,89,101,"IH1918",68580,1,NA,36.9,2,NA,NA,NA,17,5.3,"","2010",3.60821155104648,2.83321334405622,0.000382585051063995,"NS"
"561",NA,-9715,201202,162,89,"CH30-N01",68580,1,NA,36.9,2,NA,NA,NA,18,5.4,"","2012",3.60821155104648,2.89037175789616,7.90144537962144e-05,"NS"
"564",1564,1063283,200101,89,142,"R-23",68580,1,NA,37,2,NA,NA,NA,18,NA,"","2001",3.61091791264422,2.89037175789616,0.000108257723812455,"NS"
"565",1565,1063283,200101,89,142,"R-23",68580,1,NA,37,2,NA,NA,NA,20,NA,"","2001",3.61091791264422,2.99573227355399,8.4606263532704e-05,"NS"
"566",1566,1063280,200101,89,139,"U-23",68580,1,NA,37,2,NA,NA,NA,20,NA,"","2001",3.61091791264422,2.99573227355399,8.4606263532704e-05,"NS"
"567",1567,1063280,200101,89,139,"U-23",68580,1,NA,37,2,NA,NA,NA,20,NA,"","2001",3.61091791264422,2.99573227355399,8.4606263532704e-05,"NS"
"570",690,-7951,201101,89,114,"P-19",68580,1,NA,37,2,NA,NA,NA,18,NA,"","2011",3.61091791264422,2.89037175789616,0.000108257723812455,"NS"
