ACCESS_ID,HAULJOIN,CRUISE,VESSEL,HAUL,GIS_STATION,SPECIES_CODE,SEX,LENGTH,WIDTH,SHELL_CONDITION,EGG_COLOR,EGG_CONDITION,CLUTCH_SIZE,WEIGHT,CHELA_HEIGHT,COMMENTS
,-17973,201801,94,161,F-25,68560,2,,26.3,2,0,0,0,6,,
,-17978,201801,94,158,M-24,68560,2,,26.3,2,0,0,0,6,,
1146,-6553,201001,162,109,G-24,68560,2,,26.4,2,0,0,0,6,,
440,-7840,201101,162,78,C-06,68560,2,,26.4,2,0,0,0,6,,
,-18169,201801,162,176,O-29,68560,1,,26.4,2,,,,6,,
,-18025,201801,94,192,Q-29,68560,1,,26.4,2,,,,6,,
,-17607,201801,94,35,B-08,68560,2,,26.4,2,0,0,0,6,,
,-17805,201801,94,114,K-20,68560,2,,26.4,2,0,0,0,6,,
,-17815,201801,94,124,IH2019,68560,2,,26.5,2,0,0,0,6,,
,-15794,201601,162,189,L-27,68560,2,,26.5,2,0,0,0,6,,
,-17705,201801,162,73,B-03,68560,1,,26.5,2,,,,6,,
,-17585,201801,162,30,C-07,68560,2,,26.5,2,0,0,0,8,,
,-17661,201801,94,89,H-02,68560,1,,26.6,2,,,,6,3.1,
,-18169,201801,162,176,O-29,68560,1,,26.6,2,,,,6,,
,-17729,201801,162,56,H-04,68560,1,,26.6,2,,,,6,3.6,
1749,-6590,201001,162,147,J-23,68560,1,,26.7,2,,,,8,,
,-9014,201201,89,172,K-25,68560,1,,26.7,2,,,,6,3.4,
,-15399,201601,162,96,E-18,68560,1,,26.7,2,,,,6,3.1,
,-15776,201601,162,179,N-30,68560,2,,26.7,2,0,0,0,6,,
,-17015,201701,162,152,L-30,68560,1,,26.7,2,,,,6,,
,-17865,201801,94,141,K-22,68560,1,,26.8,2,,,,6,3.1,
,-17010,201701,162,147,P-28,68560,1,,26.8,2,,,,6,,
,-17823,201801,162,98,K-19,68560,2,,26.9,2,0,0,0,8,,
,-17027,201701,162,164,R-32,68560,2,,26.9,2,0,0,0,6,,
414,-6157,201001,162,38,G-07,68560,1,,27,2,,,,6,,
,-17724,201801,162,79,G-01,68560,1,,27,2,,,,6,3.3,
,-17607,201801,94,35,B-08,68560,1,,27,2,,,,6,4,
372,-11622,200601,88,134,ON2524,68560,2,,27.1,0,0,0,0,6,,
,-9014,201201,89,172,K-25,68560,1,,27.1,2,,,,8,3.4,
,-12300,201401,162,191,L-30,68560,2,,27.1,2,0,0,0,6,,
,,201801,94,84,,68560,2,,27.1,2,0,0,0,6,,
4906,-5649,200901,88,156,F-25,68560,2,,27.2,2,0,0,0,6,,
,-18169,201801,162,176,O-29,68560,2,,27.2,2,0,0,0,6,,
,-17635,201801,94,72,D-06,68560,2,,27.2,2,0,0,0,6,,
5625,-5224,200901,89,106,HG1918,68560,1,,27.3,2,,,,8,3.7,
,-15793,201601,162,188,L-28,68560,1,,27.3,2,,,,6,3.4,
,-17833,201801,162,93,N-19,68560,2,,27.3,2,0,0,0,6,,
368,-11622,200601,88,134,ON2524,68560,1,,27.4,0,,,,8,2.7,
1344,-6563,201001,162,120,K-26,68560,1,,27.4,2,,,,4,3.1,
,-17827,201801,162,102,I-18,68560,2,,27.4,2,0,0,0,4,,
,-17027,201701,162,164,R-32,68560,1,,27.4,2,,,,8,3.7,
,-17685,201801,162,54,I-05,68560,2,,27.5,2,0,0,0,8,,
,-17686,201801,162,55,H-05,68560,1,,27.5,2,,,,6,3.6,
,-15793,201601,162,188,L-28,68560,2,,27.6,2,0,0,0,6,,
5679,-5230,200901,89,112,E-21,68560,1,,27.7,2,,,,6,3,
,-17612,201801,94,40,G-08,68560,1,,27.7,2,,,,8,3.5,
,-12299,201401,162,190,L-31,68560,1,,27.8,2,,,,6,3.6,
,-15309,201601,162,73,Z-05,68560,1,,27.8,2,,,,8,3.3,
,-17857,201801,94,133,JI2221,68560,2,,27.8,2,0,0,0,6,,
,-11744,201401,162,35,E-07,68560,2,,27.9,2,0,0,0,6,,
,-17805,201801,94,114,K-20,68560,2,,27.9,2,0,0,0,6,,
,-16952,201701,162,117,J-26,68560,1,,27.9,2,,,,8,3.7,
386,-11624,200601,88,136,O-26,68560,1,,28,2,,,,8,3.1,
,-17824,201801,162,99,K-18,68560,1,,28,2,,,,8,3.9,
,-17635,201801,94,72,D-06,68560,2,,28,2,0,0,0,6,,
1216,-6558,201001,162,114,H-25,68560,1,,28.1,2,,,,6,3.6,
439,-7840,201101,162,78,C-06,68560,2,,28.1,2,0,0,0,6,,
,-17636,201801,94,73,D-05,68560,2,,28.1,2,0,0,0,8,,
,-17823,201801,162,98,K-19,68560,1,,28.1,2,,,,6,,
,-17805,201801,94,114,K-20,68560,1,,28.1,2,,,,8,4,
,-16957,201701,162,122,M-26,68560,2,,28.1,2,0,0,0,8,,
5627,-5224,200901,89,106,HG1918,68560,1,,28.2,2,,,,8,3.5,
,-17805,201801,94,114,K-20,68560,1,,28.2,2,,,,8,3.6,
,-17699,201801,162,68,D-18,68560,2,,28.2,2,0,0,0,6,,
373,-11622,200601,88,134,ON2524,68560,2,,28.3,0,0,0,0,8,,
,-8917,201201,162,173,K-23,68560,1,,28.3,2,,,,6,3.4,
,-17658,201801,94,86,E-02,68560,1,,28.3,2,,,,8,4,
2717,-6912,201001,162,223,Q-28,68560,2,,28.4,2,0,0,0,6,,
,-15776,201601,162,179,N-30,68560,1,,28.4,2,,,,6,3.2,
,-17635,201801,94,72,D-06,68560,1,,28.4,2,,,,8,3.1,
,-17630,201801,94,67,G-06,68560,1,,28.4,2,,,,8,4,
,-17865,201801,94,141,K-22,68560,1,,28.4,2,,,,8,3.6,
,-17585,201801,162,30,C-07,68560,2,,28.4,2,0,0,0,6,,
,-17718,201801,162,59,F-04,68560,2,,28.4,2,0,0,0,8,,
,-9111,201201,89,44,D-08,68560,1,,28.5,2,,,,6,3.5,
,-15481,201601,162,104,JI1918,68560,2,,28.5,2,0,0,0,8,,
,-17857,201801,94,133,JI2221,68560,2,,28.5,2,0,0,0,6,,
,-17636,201801,94,73,D-05,68560,2,,28.5,2,0,0,0,6,,
,-17686,201801,162,55,H-05,68560,1,,28.5,2,,,,10,4.2,
,-17724,201801,162,79,G-01,68560,2,,28.6,2,0,0,0,8,,
,-17656,201801,94,60,K-03,68560,2,,28.6,2,0,0,0,6,,
,-17876,201801,94,152,PO2625,68560,1,,28.6,2,,,,8,3.9,
,-17729,201801,162,56,H-04,68560,2,,28.6,2,0,0,0,8,,
3543,-4331,200801,89,164,O-26,68560,2,,28.7,2,0,0,0,8,,
,-12121,201401,162,143,F-25,68560,2,,28.7,2,0,0,0,6,,
,-12129,201401,162,151,N-25,68560,1,,28.7,2,,,,8,3.6,
,-17893,201801,162,131,G-24,68560,1,,28.7,2,,,,6,3.1,
,-17729,201801,162,56,H-04,68560,2,,28.7,2,0,0,0,8,,
,-17019,201701,162,156,N-31,68560,2,,28.7,2,0,0,0,8,,
,-17695,201801,162,51,J-05,68560,1,,28.7,2,,,,6,2.9,
,-15794,201601,162,189,L-27,68560,2,,28.8,2,0,0,0,8,,
4646,-6414,201001,89,55,A-05,68560,2,,28.9,2,0,0,0,6,,
,-10030,201301,162,68,D-18,68560,2,,28.9,2,0,0,0,8,,
,-17636,201801,94,73,D-05,68560,2,,28.9,2,0,0,0,8,,
