"","ACCESS_ID","HAULJOIN","CRUISE","VESSEL","HAUL","GIS_STATION","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","CHELA_HEIGHT","COMMENTS","YEAR","log10.width","log10.weight","log.width","log.weight","Cooks_D","SC"
"3658",NA,-15394,201601,162,91,"I-01",68560,2,NA,70.1,2,4,1,5,100,NA,NA,"2016",1.84571801796666,2,4.24992279404054,4.60517018598809,0.00076951695350488,"NS"
"3678",809,-6212,201001,162,93,"E-18",68560,2,NA,70.4,2,4,1,6,100,NA,NA,"2010",1.84757265914211,2,4.254193263164,4.60517018598809,0.000395102515530579,"NS"
"3680",877,-6216,201001,162,97,"D-18",68560,2,NA,70.4,2,4,1,5,94,NA,NA,"2010",1.84757265914211,1.9731278535997,4.254193263164,4.54329478227,0.000300097974311467,"NS"
"3688",NA,-15605,201601,162,137,"M-22",68560,2,NA,70.5,2,4,1,6,98,NA,NA,"2016",1.8481891169914,1.99122607569249,4.25561270981822,4.58496747867057,2.74233410142399e-05,"NS"
"3697",NA,-17680,201801,162,74,"B-01",68560,2,NA,70.6,2,4,1,4,96,NA,NA,"2018",1.8488047010518,1.98227123303957,4.2570301444992,4.56434819146784,9.00924446655144e-05,"NS"
"3699",3385,-4119,200801,89,34,"A-05",68560,2,NA,70.8,2,4,1,5,96,NA,NA,"2008",1.85003325768977,1.98227123303957,4.25985900069967,4.56434819146784,0.000201654484353289,"NS"
"3702",427,-7617,201101,162,53,"F-06",68560,2,NA,70.8,2,4,1,5,98,NA,NA,"2011",1.85003325768977,1.99122607569249,4.25985900069967,4.58496747867057,4.27386009805191e-06,"NS"
"3708",1280,-6562,201001,162,118,"K-27",68560,2,NA,70.9,2,4,1,4,94,NA,NA,"2010",1.85064623518307,1.9731278535997,4.26127043353808,4.54329478227,0.000831402143641914,"NS"
"3718",1487,1010773,200001,89,97,"E-18",68560,2,NA,71,2,4,1,5,100,NA,NA,"2000",1.85125834871908,2,4.26267987704132,4.60517018598809,2.47059744896752e-05,"NS"
"3728",520,-7869,201101,162,105,"JI1918",68560,2,NA,71,2,4,1,4,94,NA,NA,"2011",1.85125834871908,1.9731278535997,4.26267987704132,4.54329478227,0.000964159999667178,"NS"
"3751",NA,-17842,201801,162,109,"E-18",68560,2,NA,71.2,2,4,1,6,100,NA,NA,"2018",1.85247999363686,2,4.26549281841793,4.60517018598809,5.56404286103886e-08,"NS"
"3754",535,-7890,201101,162,126,"I-21",68560,2,NA,71.3,2,4,1,5,98,NA,NA,"2011",1.85308952985187,1.99122607569249,4.26689632742025,4.58496747867057,0.000186669461003321,"NS"
"3759",655,-6181,201001,162,62,"I-03",68560,2,NA,71.4,2,4,1,1,98,NA,NA,"2010",1.85369821177617,1.99122607569249,4.26829786934554,4.58496747867057,0.000252738040886944,"NS"
"3774",NA,-18022,201801,162,163,"L-27",68560,2,NA,71.5,2,4,1,4,92,NA,NA,"2018",1.85430604180108,1.96378782734556,4.26969744969996,4.52178857704904,0.0029068682191679,"NS"
"3781",NA,-19246,201901,162,70,"B-02",68560,2,NA,71.6,2,4,1,5,100,NA,NA,"2019",1.85491302230786,2,4.2710950739666,4.60517018598809,7.91407909172468e-05,"NS"
"3789",NA,-12129,201401,162,151,"N-25",68560,2,NA,71.8,2,4,1,5,108,NA,NA,"2014",1.8561244442423,2.03342375548695,4.27388447605418,4.68213122712422,0.000878072956995113,"NS"
"3802",1483,1063350,200101,89,85,"C-01",68560,2,NA,72,2,4,1,5,94,NA,NA,"2001",1.85733249643127,1.9731278535997,4.27666611901606,4.54329478227,0.00267761898824642,"NS"
"3803",1492,1063350,200101,89,85,"C-01",68560,2,NA,72,2,4,1,5,104,NA,NA,"2001",1.85733249643127,2.01703333929878,4.27666611901606,4.64439089914137,1.64259049091974e-05,"NS"
"3806",2243,-3451,200701,88,109,"D-18",68560,2,NA,72,2,4,1,5,102,NA,NA,"2007",1.85733249643127,2.00860017176192,4.27666611901606,4.62497281328427,4.44176315381903e-05,"NS"
"3811",NA,-17861,201801,94,137,"J-23",68560,2,NA,72,2,4,1,5,110,NA,NA,"2018",1.85733249643127,2.04139268515822,4.27666611901606,4.70048036579242,0.00122574866949014,"NS"
"3816",1383,-6567,201001,162,124,"M-28",68560,2,NA,72.1,2,4,1,4,102,NA,NA,"2010",1.85793526471943,2.00860017176192,4.2780540442909,4.62497281328427,7.79942486502259e-05,"NS"
"3825",NA,-19245,201901,162,69,"A-02",68560,2,NA,72.2,2,4,1,5,110,NA,NA,"2019",1.85853719756964,2.04139268515822,4.27944004589878,4.70048036579242,0.00091596312146836,"NS"
"3830",134,-11547,200601,88,59,"B-04",68560,2,NA,72.3,2,4,1,6,114,NA,NA,"2006",1.85913829729453,2.05690485133647,4.28082412916472,4.7361984483945,0.00224081597459538,"NS"
"3838",373,-6153,201001,162,34,"C-07",68560,2,NA,72.4,2,3,1,5,106,NA,NA,"2010",1.85973856619715,2.02530586526477,4.28220629939167,4.66343909411207,3.1477776460437e-05,"NS"
"3854",4592,-5216,200901,89,98,"M-19",68560,2,NA,72.6,2,4,1,5,106,NA,NA,"2009",1.86093662070009,2.02530586526477,4.28496492183075,4.66343909411207,1.66155735638815e-06,"NS"
"3864",NA,-17682,201801,162,76,"A-02",68560,2,NA,72.7,2,4,1,4,98,NA,NA,"2018",1.86153441085904,1.99122607569249,4.28634138453947,4.58496747867057,0.0018130463901933,"NS"
"3873",NA,-11964,201401,162,100,"JI2019",68560,2,NA,72.8,2,4,1,5,102,NA,NA,"2014",1.86213137931304,2.00860017176192,4.28771595520264,4.62497281328427,0.000542372459613239,"NS"
