"","CRAB_ID","HAULJOIN","CRUISE","VESSEL","HAUL","STATION","SPECIES_KFRC","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","SAMPLING_FACTOR","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS","GIS_STATION","YEAR","log.length","log.weight","Cooks_D","SC"
"80",3353347,-19782,201902,94,48,"AA-03",2,69322,1,85.9,NA,2,NA,NA,NA,528,NA,NA,NA,NA,1,NA,NA,NA,"AA-03","2019",4.45318382899021,6.26909628370626,0.00337157114329431,"NS"
"81",3353348,-19782,201902,94,48,"AA-03",2,69322,1,75.8,NA,2,NA,NA,NA,318,NA,NA,NA,NA,1,NA,NA,NA,"AA-03","2019",4.32809829264833,5.76205138278018,4.18763020720057e-05,"NS"
"82",3353349,-19782,201902,94,48,"AA-03",2,69322,1,63.8,NA,2,NA,NA,NA,198,NA,NA,NA,NA,1,NA,NA,NA,"AA-03","2019",4.15575319035074,5.28826703069454,0.000509698618298299,"NS"
"83",3353350,-19782,201902,94,48,"AA-03",2,69322,1,67.4,NA,2,NA,NA,NA,238,NA,NA,NA,NA,1,NA,NA,NA,"AA-03","2019",4.21064501791826,5.47227067367148,0.000859022288740774,"NS"
"84",3353351,-19782,201902,94,48,"AA-03",2,69322,1,67.8,NA,2,NA,NA,NA,248,NA,NA,NA,NA,1,NA,NA,NA,"AA-03","2019",4.21656219494635,5.51342874616498,0.00163849089214299,"NS"
"85",3353352,-19782,201902,94,48,"AA-03",2,69322,1,71.6,NA,2,NA,NA,NA,260,NA,NA,NA,NA,1,NA,NA,NA,"AA-03","2019",4.2710950739666,5.56068163101553,0.00035243751510131,"NS"
"86",3353353,-19782,201902,94,48,"AA-03",2,69322,1,72.2,NA,2,NA,NA,NA,298,NA,NA,NA,NA,1,NA,NA,NA,"AA-03","2019",4.27944004589878,5.6970934865054,0.00125181289308641,"NS"
"87",3353354,-19782,201902,94,48,"AA-03",2,69322,1,68.7,NA,2,NA,NA,NA,270,NA,NA,NA,NA,1,NA,NA,NA,"AA-03","2019",4.2297491992283,5.59842195899838,0.00384994836904121,"NS"
"88",3354083,-19750,201902,94,31,"ZZ-04",2,69322,1,66.8,NA,2,NA,NA,NA,224,NA,NA,NA,NA,1,NA,NA,NA,"ZZ-04","2019",4.2017030805426,5.41164605185504,0.000173357070853108,"NS"
"89",3354084,-19750,201902,94,31,"ZZ-04",2,69322,1,61.3,NA,2,NA,NA,NA,158,NA,NA,NA,NA,1,NA,NA,NA,"ZZ-04","2019",4.11577984294217,5.06259503302697,0.000836194799130975,"NS"
"90",3354143,-19781,201902,94,47,"BB-03",2,69322,1,70.4,NA,2,NA,NA,NA,246,NA,NA,NA,NA,1,NA,NA,NA,"BB-03","2019",4.254193263164,5.50533153593236,0.000411641329277968,"NS"
"91",3354144,-19781,201902,94,47,"BB-03",2,69322,1,75.4,NA,2,NA,NA,NA,352,NA,NA,NA,NA,1,NA,NA,NA,"BB-03","2019",4.32280727501391,5.8636311755981,0.00270166105377978,"NS"
"92",3355147,-19784,201902,94,50,"BB-04",2,69322,1,100.3,NA,2,NA,NA,NA,750,NA,NA,NA,NA,1,NA,NA,NA,"BB-04","2019",4.60816569496789,6.62007320653036,0.000155616775830895,"NS"
"93",3355148,-19784,201902,94,50,"BB-04",2,69322,1,61.9,NA,2,NA,NA,NA,148,NA,NA,NA,NA,1,NA,NA,NA,"BB-04","2019",4.12552017969055,4.99721227376411,0.00592860976974731,"NS"
"94",3355149,-19784,201902,94,50,"BB-04",2,69322,1,72.7,NA,2,NA,NA,NA,280,NA,NA,NA,NA,1,NA,NA,NA,"BB-04","2019",4.28634138453947,5.63478960316925,3.10068307270728e-05,"NS"
"95",3355150,-19784,201902,94,50,"BB-04",2,69322,1,77.3,NA,2,NA,NA,NA,364,NA,NA,NA,NA,1,NA,NA,NA,"BB-04","2019",4.34769395559338,5.89715386763674,0.000951147655177146,"NS"
"96",3354145,-19781,201902,94,47,"BB-03",2,69322,1,65.5,NA,2,NA,NA,NA,212,NA,NA,NA,NA,1,NA,NA,NA,"BB-03","2019",4.18205014264121,5.35658627467201,0.000256238114071811,"NS"
"97",3354146,-19781,201902,94,47,"BB-03",2,69322,1,75.7,NA,2,NA,NA,NA,278,NA,NA,NA,NA,1,NA,NA,NA,"BB-03","2019",4.3267781604434,5.62762111369064,0.00506457498395254,"NS"
"98",3354147,-19781,201902,94,47,"BB-03",2,69322,1,72.1,NA,2,NA,NA,NA,304,NA,NA,NA,NA,1,NA,NA,NA,"BB-03","2019",4.2780540442909,5.71702770140622,0.00223034020320496,"NS"
