"","CRAB_ID","HAULJOIN","CRUISE","VESSEL","HAUL","STATION","SPECIES_KFRC","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","SAMPLING_FACTOR","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS","GIS_STATION","YEAR","log.width","log.weight","Cooks_D","SC"
"75",3156723,-17381,201702,162,43,"Y-23",7,68580,1,NA,49.5,2,NA,NA,NA,46,NA,NA,NA,NA,1,8.6,NA,"","Y-23","2017",3.90197266957464,3.8286413964891,6.39782998083049e-06,"NS"
"76",3156724,-17381,201702,162,43,"Y-23",7,68580,1,NA,54,2,NA,NA,NA,62,NA,NA,NA,NA,1,9.1,NA,"","Y-23","2017",3.98898404656427,4.12713438504509,9.32589807702435e-06,"NS"
"77",3156725,-17381,201702,162,43,"Y-23",7,68580,1,NA,41.5,2,NA,NA,NA,28,NA,NA,NA,NA,1,6.1,NA,"","Y-23","2017",3.72569342723665,3.3322045101752,7.46268070695866e-06,"NS"
"78",3156726,-17381,201702,162,43,"Y-23",7,68580,1,NA,57.9,2,NA,NA,NA,74,NA,NA,NA,NA,1,9.8,NA,"","Y-23","2017",4.05871738457895,4.30406509320417,9.11178033324832e-06,"NS"
"79",3156727,-17381,201702,162,43,"Y-23",7,68580,1,NA,58.8,2,NA,NA,NA,72,NA,NA,NA,NA,1,9.8,NA,"","Y-23","2017",4.07414185490458,4.27666611901606,0.000308313926066153,"NS"
"80",3156749,-17396,201702,162,53,"DD-20",7,68580,1,NA,38.7,2,NA,NA,NA,24,NA,NA,NA,NA,16.16458,6.2,NA,"","DD-20","2017",3.65583960003574,3.17805383034795,0.000130556104683402,"NS"
"81",3156750,-17396,201702,162,53,"DD-20",7,68580,1,NA,34.7,2,NA,NA,NA,14,NA,NA,NA,NA,16.16458,5.6,NA,"","DD-20","2017",3.54673968695281,2.63905732961526,0.000541746290798933,"NS"
"82",3156751,-17396,201702,162,53,"DD-20",7,68580,1,NA,32.6,2,NA,NA,NA,12,NA,NA,NA,NA,16.16458,4.9,NA,"","DD-20","2017",3.48431228837266,2.484906649788,0.000366423924216505,"NS"
"83",3156752,-17396,201702,162,53,"DD-20",7,68580,1,NA,39.8,2,NA,NA,NA,26,NA,NA,NA,NA,16.16458,6.3,NA,"","DD-20","2017",3.68386691229039,3.25809653802148,0.00010750431962475,"NS"
"84",3156753,-17396,201702,162,53,"DD-20",7,68580,1,NA,43,2,NA,NA,NA,30,NA,NA,NA,NA,16.16458,7,NA,"","DD-20","2017",3.76120011569356,3.40119738166216,6.49817089434568e-06,"NS"
"85",3157376,-17436,201702,162,81,"W-01",7,68580,1,NA,28.8,2,NA,NA,NA,8,NA,NA,NA,NA,1,4.1,NA,"","W-01","2017",3.3603753871419,2.07944154167984,0.000966154103787065,"NS"
"86",3157377,-17436,201702,162,81,"W-01",7,68580,1,NA,27.9,2,NA,NA,NA,10,NA,NA,NA,NA,1,4.2,NA,"","W-01","2017",3.32862668882732,2.30258509299405,0.00239584096121226,"NS"
"87",3157378,-17436,201702,162,81,"W-01",7,68580,1,NA,27.8,2,NA,NA,NA,8,NA,NA,NA,NA,1,4.2,NA,"","W-01","2017",3.32503602069659,2.07944154167984,2.91094604021738e-05,"NS"
"88",3157379,-17436,201702,162,81,"W-01",7,68580,1,NA,38.9,2,NA,NA,NA,18,NA,NA,NA,NA,1,5.8,NA,"","W-01","2017",3.6609942506244,2.89037175789616,0.00111685049247418,"NS"
"89",3157380,-17436,201702,162,81,"W-01",7,68580,1,NA,41.1,2,NA,NA,NA,24,NA,NA,NA,NA,1,6.3,NA,"","W-01","2017",3.71600812150219,3.17805383034795,0.000215066774416013,"NS"
"90",3157691,-17368,201702,162,38,"X-24",7,68580,1,NA,54.7,2,NA,NA,NA,60,NA,NA,NA,NA,2.18826,8.8,NA,"","X-24","2017",4.00186370942794,4.0943445622221,8.51118678868173e-05,"NS"
